"Key","Language","Translation"
"RecordRoute","es","Para grabar una ruta en la pantalla de inicio, selecciona la opción <i class='bi bi-record-fill text-danger'></i> Grabar Ruta. Deja abierta la app mientras recorres la ruta. Al finalizar, selecciona la opción <i class='bi bi-record-fill text-danger'></i> Grabar Ruta para guardar la ruta en tu dispositivo."
"RecordRoute","en","To record a route on the home screen, select the <i class='bi bi-record-fill text-danger'></i> Record Route option. Leave the app open while you traverse the route. At the end, select the <i class='bi bi-record-fill text-danger'></i> Record Route option to save the route to your device."
"RecordRoute","ca","Per gravar una ruta a la pantalla d'inici, selecciona l'opció <i class='bi bi-record-fill text-danger'></i> Gravar Ruta. Deixa l'app oberta mentre recorres la ruta. Al finalitzar, selecciona l'opció <i class='bi bi-record-fill text-danger'></i> Gravar Ruta per guardar la ruta al teu dispositiu."
"LoadRoute","es","Para cargar una ruta, selecciona la opción <i class='bi bi-cloud-upload-fill'></i> Cargar Ruta. En la siguiente pantalla, selecciona la opción <i class='upload_file'></i> Cargar Ruta. Aparecerá un selector de archivos; selecciona el fichero de ruta que deseas cargar. Finalmente, pulsa el botón <i class='route'></i> para visualizar la ruta en el mapa."
"LoadRoute","en","To load a route, select the <i class='bi bi-cloud-upload-fill'></i> Load Route option. Select the <i class='upload_file'></i> Load Route option. A file selector will appear; select the route file you wish to load. After loading the file, tap the <i class='route'></i> button to display the route on the map."
"LoadRoute","ca","Per carregar una ruta, selecciona l'opció <i class='bi bi-cloud-upload-fill'></i> Carregar Ruta. A la pantalla següent, selecciona l'opció <i class='upload_file'></i> Carregar Ruta. Apareixerà un selector de fitxers; selecciona el fitxer de ruta que desitges carregar. Finalment, prem el botó <i class='route'></i> per visualitzar la ruta al mapa."
"Ejecución en segundo plano","es","Ejecución en segundo plano"
"Ejecución en segundo plano","en","Background Execution"
"Ejecución en segundo plano","ca","Execució en segon pla"
"Para que Hiker funcione correctamente en segundo plano, debes permitir que no tenga restricciones de ejecución. ¿Quieres cambiar la configuración?","es","Para que Hiker funcione correctamente en segundo plano, debes permitir que no tenga restricciones de ejecución. ¿Quieres cambiar la configuración?"
"Para que Hiker funcione correctamente en segundo plano, debes permitir que no tenga restricciones de ejecución. ¿Quieres cambiar la configuración?","en","For Hiker to function properly in the background, you need to allow it to run without restrictions. Do you want to change the settings?"
"Para que Hiker funcione correctamente en segundo plano, debes permitir que no tenga restricciones de ejecución. ¿Quieres cambiar la configuración?","ca","Perquè Hiker funcioni correctament en segon pla, has de permetre que no tingui restriccions d'execució. Vols canviar la configuració?"
"Optimización de batería","es","Optimización de batería"
"Optimización de batería","en","Battery Optimization"
"Optimización de batería","ca","Optimització de bateria"
"Para mejorar el posicionamiento, debes configurar Hiker para que no tenga restricciones de batería. ¿Quieres cambiar la configuración?","es","Para mejorar el posicionamiento, debes configurar Hiker para que no tenga restricciones de batería. ¿Quieres cambiar la configuración?"
"Para mejorar el posicionamiento, debes configurar Hiker para que no tenga restricciones de batería. ¿Quieres cambiar la configuración?","en","To improve positioning, you need to configure Hiker to have no battery restrictions. Do you want to change the settings?"
"Para mejorar el posicionamiento, debes configurar Hiker para que no tenga restricciones de batería. ¿Quieres cambiar la configuración?","ca","Per millorar el posicionament, has de configurar Hiker perquè no tingui restriccions de bateria. Vols canviar la configuració?"
"Sí","es","Sí"
"Sí","en","Yes"
"Sí","ca","Sí"
"No","es","No"
"No","en","No"
"No","ca","No"
"Accu:","es","Prec:"
"Accu:","en","Accu:"
"Accu:","ca","Prec:"
"Acerca de...","es","Acerca de..."
"Acerca de...","en","About..."
"Acerca de...","ca","Sobre..."
"Esta aplicación ha sido desarrollada por sOCratic para ayudar a los usuarios a rastrear y mapear sus rutas.","es","Esta aplicación ha sido desarrollada por sOCratic para ayudar a los usuarios a rastrear y mapear sus rutas."
"Esta aplicación ha sido desarrollada por sOCratic para ayudar a los usuarios a rastrear y mapear sus rutas.","en","This application has been developed by sOCratic to help users track and map their routes."
"Esta aplicación ha sido desarrollada por sOCratic para ayudar a los usuarios a rastrear y mapear sus rutas.","ca","Aquesta aplicació ha estat desenvolupada per sOCratic per ajudar els usuaris a rastrejar i mapar les seves rutes."
"Créditos","es","Créditos"
"Créditos","en","Credits"
"Créditos","ca","Crèdits"
"se utilizan bajo sus términos de licencia. Estos iconos proporcionan un aspecto moderno y elegante a la interfaz de usuario de la aplicación.","es","Se utilizan bajo sus términos de licencia. Estos iconos proporcionan un aspecto moderno y elegante a la interfaz de usuario de la aplicación."
"se utilizan bajo sus términos de licencia. Estos iconos proporcionan un aspecto moderno y elegante a la interfaz de usuario de la aplicación.","en","Are used under their license terms. These icons provide a modern and stylish look to the app's user interface."
"se utilizan bajo sus términos de licencia. Estos iconos proporcionan un aspecto moderno y elegante a la interfaz de usuario de la aplicación.","ca","S'utilitzen sota els seus termes de llicència. Aquests icones proporcionen un aspecte modern i elegant a la interfície d'usuari de l'aplicació."
"Iconos de","es","Iconos de"
"Iconos de","en","Icons by"
"Iconos de","ca","Icones de"
"también se utilizan en esta aplicación, mejorando su usabilidad y diseño visual.","es","También se utilizan en esta aplicación, mejorando su usabilidad y diseño visual."
"también se utilizan en esta aplicación, mejorando su usabilidad y diseño visual.","en","Are also used in this app, enhancing its usability and visual design."
"también se utilizan en esta aplicación, mejorando su usabilidad y diseño visual.","ca","També s'utilitzen en aquesta aplicació, millorant la seva usabilitat i disseny visual."
"Esta aplicación utiliza datos de mapas proporcionados por","es","Esta aplicación utiliza datos de mapas proporcionados por"
"Esta aplicación utiliza datos de mapas proporcionados por","en","This app uses map data provided by"
"Esta aplicación utiliza datos de mapas proporcionados por","ca","Aquesta aplicació utilitza dades de mapes proporcionades per"
"una fuente libre y abierta de datos de mapas que es mantenida por una comunidad global de colaboradores.","es","Una fuente libre y abierta de datos de mapas que es mantenida por una comunidad global de colaboradores."
"una fuente libre y abierta de datos de mapas que es mantenida por una comunidad global de colaboradores.","en","A free and open source of map data maintained by a global community of contributors."
"una fuente libre y abierta de datos de mapas que es mantenida por una comunidad global de colaboradores.","ca","Una font lliure i oberta de dades de mapes que és mantinguda per una comunitat global de col·laboradors."
"La visualización de los mapas y rutas en esta aplicación se realiza mediante","es","La visualización de los mapas y rutas en esta aplicación se realiza mediante"
"La visualización de los mapas y rutas en esta aplicación se realiza mediante","en","The visualization of maps and routes in this app is done using"
"La visualización de los mapas y rutas en esta aplicación se realiza mediante","ca","La visualització dels mapes i rutes en aquesta aplicació es realitza mitjançant"
"una biblioteca JavaScript de código abierto que ofrece funcionalidades de mapas interactivas y altamente personalizables.","es","Una biblioteca JavaScript de código abierto que ofrece funcionalidades de mapas interactivas y altamente personalizables."
"una biblioteca JavaScript de código abierto que ofrece funcionalidades de mapas interactivas y altamente personalizables.","en","An open-source JavaScript library that offers interactive and highly customizable mapping functionalities."
"una biblioteca JavaScript de código abierto que ofrece funcionalidades de mapas interactivas y altamente personalizables.","ca","Una biblioteca JavaScript de codi obert que ofereix funcionalitats de mapes interactius i altament personalitzables."
"Agradecimientos a Michael Coyle por su librería BlueToque.SharpGPX para la lectura y escritura de archivos GPX.","es","Agradecimientos a Michael Coyle por su librería BlueToque.SharpGPX para la lectura y escritura de archivos GPX."
"Agradecimientos a Michael Coyle por su librería BlueToque.SharpGPX para la lectura y escritura de archivos GPX.","en","Thanks to Michael Coyle for his library BlueToque.SharpGPX for reading and writing GPX files."
"Agradecimientos a Michael Coyle por su librería BlueToque.SharpGPX para la lectura y escritura de archivos GPX.","ca","Agraïments a Michael Coyle per la seva llibreria BlueToque.SharpGPX per a la lectura i escriptura de fitxers GPX."
"Volver a Inicio","es","Volver a Inicio"
"Volver a Inicio","en","Return to Home"
"Volver a Inicio","ca","Tornar a Inici"
"Lat:","es","Lat:"
"Lat:","en","Lat:"
"Lat:","ca","Lat:"
"Lon:","es","Lon:"
"Lon:","en","Lon:"
"Lon:","ca","Lon:"
"Cargar","es","Cargar"
"Cargar","en","Load"
"Cargar","ca","Carregar"
"Cargar Ruta","es","Cargar Ruta"
"Cargar Ruta","en","Load Route"
"Cargar Ruta","ca","Carregar Ruta"
"Seguir Ruta","es","Seguir Ruta"
"Seguir Ruta","en","Follow Route"
"Seguir Ruta","ca","Seguir Ruta"
"Modo Grabación","es","Modo Grabación"
"Modo Grabación","en","Recording Mode"
"Modo Grabación","ca","Mode Gravació"
"Configuración","es","Configuración"
"Configuración","en","Settings"
"Configuración","ca","Configuració"
"Confirmación","es","Confirmación"
"Confirmación","en","Confirmation"
"Confirmación","ca","Confirmació"
"¿Desea guardar la ruta grabada?","es","¿Desea guardar la ruta grabada?"
"¿Desea guardar la ruta grabada?","en","Do you want to save the recorded route?"
"¿Desea guardar la ruta grabada?","ca","Vols guardar la ruta gravada?"
"Estás aquí...","es","Estás aquí..."
"Estás aquí...","en","You are here..."
"Estás aquí...","ca","Ets aquí..."
"Grabando...","es","Grabando..."
"Grabando...","en","Recording..."
"Grabando...","ca","Gravant..."
"Ruta","es","Ruta"
"Ruta","en","Route"
"Ruta","ca","Ruta"
"Distancia Total","es","Distancia Total"
"Distancia Total","en","Total Distance"
"Distancia Total","ca","Distància Total"
"Elevación Mínima","es","Elevación Mínima"
"Elevación Mínima","en","Minimum Elevation"
"Elevación Mínima","ca","Elevació Mínima"
"Elevación","es","Elevación"
"Elevación","en","Elevation"
"Elevación","ca","Elevació"
"Elevación Máxima","es","Elevación Máxima"
"Elevación Máxima","en","Maximum Elevation"
"Elevación Máxima","ca","Elevació Màxima"
"Desnivel","es","Desnivel"
"Desnivel","en","Elevation Gain"
"Desnivel","ca","Desnivell"
"Tiempo Estimado","es","Tiempo Estimado"
"Tiempo Estimado","en","Estimated Time"
"Tiempo Estimado","ca","Temps Estimat"
"Al mapa","es","Al mapa"
"Al mapa","en","To the Map"
"Al mapa","ca","Al mapa"
"Cerrar","es","Cerrar"
"Cerrar","en","Close"
"Cerrar","ca","Tancar"
"Por favor, espera...","es","Por favor, espera..."
"Por favor, espera...","en","Please wait..."
"Por favor, espera...","ca","Si us plau, espera..."
"Guardar Ruta","es","Guardar Ruta"
"Guardar Ruta","en","Save Route"
"Guardar Ruta","ca","Guardar Ruta"
"Guardar","es","Guardar"
"Guardar","en","Save"
"Guardar","ca","Guardar"
"Idioma del sistema","es","Idioma del sistema"
"Idioma del sistema","en","System Language"
"Idioma del sistema","ca","Idioma del sistema"
"Velocidad máxima (m/s)","es","Velocidad máxima (m/s)"
"Velocidad máxima (m/s)","en","Max Speed (m/s)"
"Velocidad máxima (m/s)","ca","Velocitat màxima (m/s)"
"Refresco posición (s)","es","Refresco posición (s)"
"Refresco posición (s)","en","Position Refresh (s)"
"Refresco posición (s)","ca","Refresc de posició (s)"
"Elementos para el promedio móvil","es","Elementos para el promedio móvil"
"Elementos para el promedio móvil","en","Items for Moving Average"
"Elementos para el promedio móvil","ca","Elements per a la mitjana mòbil"
"Filtro de Kalman","es","Filtro de Kalman"
"Filtro de Kalman","en","Kalman Filter"
"Filtro de Kalman","ca","Filtre de Kalman"
"Filtro de Promedio Móvil","es","Filtro de Promedio Móvil"
"Filtro de Promedio Móvil","en","Moving Average Filter"
"Filtro de Promedio Móvil","ca","Filtre de Mitjana Mòbil"
"Mostrar datos de localización","es","Mostrar datos de localización"
"Mostrar datos de localización","en","Show Localization Data"
"Mostrar datos de localización","ca","Mostrar dades de localització"
"Points:","es","Puntos:"
"Points:","en","Points:"
"Points:","ca","Punts:"
"Filtro de precisión","es","Filtro de precisión"
"Filtro de precisión","en","Accuracy Filter"
"Filtro de precisión","ca","Filtre de precisió"
"Filtro de velocidad","es","Filtro de velocidad"
"Filtro de velocidad","en","Speed Filter"
"Filtro de velocidad","ca","Filtre de velocitat"
"Precisión (m)","es","Precisión (m)"
"Precisión (m)","en","Accuracy (m)"
"Precisión (m)","ca","Precisió (m)"
"Usar geolocalización nativa MAUI","es","Usar geolocalización nativa MAUI"
"Usar geolocalización nativa MAUI","en","Use native MAUI localization"
"Usar geolocalización nativa MAUI","ca","Utilitzar geolocalització nativa MAUI"
"Agradecimientos a Esteban Sequeira por su iconos de banderas","es","Agradecimientos a Esteban Sequeira por sus iconos de banderas"
"Agradecimientos a Esteban Sequeira por su iconos de banderas","en","Thanks to Esteban Sequeira for their flag icons"
"Agradecimientos a Esteban Sequeira por su iconos de banderas","ca","Agraïments a Esteban Sequeira pels seus icones de banderes"
"y de","es","y de"
"y de","en","and"
"y de","ca","i de"
"Invitame a un Café","es","¡Invítame a un Café!"
"Invitame a un Café","en","Buy me a Coffee!"
"Invitame a un Café","ca","Convida'm a un Cafè!"
"Catalan","es","Catalan"
"Catalan","en","Catalan"
"Catalan","ca","Català"
"ThaksForYourSupport","es","Si te gusta esta aplicación y te ha resultado útil, ¡considera invitarme a un café! Tu apoyo me ayuda a seguir desarrollando y mejorando esta herramienta para todos. ¡Gracias por tu generosidad!"
"ThaksForYourSupport","en","If you like this application and have found it useful, please consider buying me a coffee! Your support helps me to continue developing and improving this tool for everyone. Thank you for your generosity!"
"ThaksForYourSupport","ca","Si t'agrada aquesta aplicació i t'ha estat útil, considera convidar-me a un cafè! El teu suport m'ajuda a continuar desenvolupant i millorant aquesta eina per tots. Gràcies per la teva generositat!"
"English","es","Inglés"
"English","en","English"
"English","ca","Anglès"
"Castellano","es","Castellano"
"Castellano","en","Spanish"
"Castellano","ca","Castellà"
"Acerca de","en","About"
"Versión","en","Version"
"Tu compañero de aventuras al aire libre","en","Your outdoor adventure companion"
"Contacto","en","Contact"
"Toca para enviar un correo electrónico","en","Tap to send an email"
"Apoya el Desarrollo","en","Support Development"
"Ko-fi.com - Invítame un café","en","Ko-fi.com - Buy me a coffee"
"Tu apoyo ayuda a mantener y mejorar la aplicación","en","Your support helps maintain and improve the app"
"Idioma","en","Language"
"Selecciona tu idioma preferido","en","Select your preferred language"
"Privacidad","en","Privacy"
"Esta aplicación no recopila tus datos personales ni los envía a los desarrolladores. La información se procesa en tu dispositivo para la función propia de la app.","en","This app does not collect your personal data or send it to the developers. Information is processed on your device for the app's own purpose."
"Licencia","en","License"
"Esta aplicación es software libre distribuido bajo licencia MIT.","en","This app is free software distributed under the MIT license."
"Aviso Legal","en","Legal Notice"
"Este software se proporciona «tal cual», sin garantías de ningún tipo. El usuario es responsable del uso adecuado de la aplicación y del cumplimiento de las leyes locales.","en","This software is provided 'as is', without warranty of any kind. The user is responsible for proper use of the app and compliance with local laws."
"En ningún caso los autores serán responsables de daños directos, indirectos, incidentales o consecuentes que resulten del uso de este software.","en","In no event shall the authors be liable for any direct, indirect, incidental or consequential damages arising from the use of this software."
"⚠️ Uso bajo su propio riesgo","en","⚠️ Use at your own risk"
"No se pudo abrir el cliente de correo","en","Could not open the email client"
"Obteniendo ubicación...","en","Getting location..."
"Precisión: --","en","Accuracy: --"
"Velocidad: -- km/h","en","Speed: -- km/h"
"Iniciar","en","Start"
"Parar","en","Stop"
"Limpiar","en","Clear"
"Rutas Guardadas","en","Saved Routes"
"Gestión de Rutas","en","Route Management"
"Cargar GPX","en","Load GPX"
"Actualizar","en","Refresh"
